frames_processed,fish_count_mean,fish_count_std,fish_count_max,speed_mean,speed_std,speed_max,vertical_speed_mean,vertical_speed_std,vertical_speed_max,tilt_mean,tilt_std,tilt_max,angle_change_mean,angle_change_std,angle_change_max,bbox_area_mean,bbox_area_std,bbox_area_max,surface_count_mean,middle_count_mean,bottom_count_mean,surface_ratio,middle_ratio,bottom_ratio,track_count_estimate,video_file,label
300,1.0966666666666667,0.9455098565794483,5.0,33.92598464144464,22.138399556870205,79.94060294994027,3.1720779220779223,24.516650839980418,74.5,40.78566728814127,13.481619353312814,74.61381127189992,42.50788383193557,53.06726938652869,179.74820235030336,268001.4285714286,219712.5590160233,724812.0,0.13666666666666666,0.6066666666666667,0.35333333333333333,0.12462006079027356,0.5531914893617021,0.3221884498480243,175,erratic_or_chasing3.mp4,erratic_or_chasing
165,6.36969696969697,3.6617999257266125,14.0,21.238872086016876,18.973368613181748,79.60056532462568,0.20591517857142858,11.365221397816091,73.5,36.7582405527051,14.514860042542452,78.29356327084668,36.45496642249284,48.53934568724309,180.0,8842.054234062798,7153.643910936591,43878.0,2.8484848484848486,3.139393939393939,0.38181818181818183,0.44719314938154137,0.4928639391056137,0.05994291151284491,155,erratic_or_chasing4.mp4,erratic_or_chasing
300,3.4566666666666666,1.6415812160502108,8.0,26.584257112639545,19.05764782012042,79.81227975693966,0.5232426303854876,20.022840515766372,79.0,44.661077743948844,12.257476561878995,77.96088788397772,58.13067146641092,54.25527637866843,180.0,102118.89103182257,73323.1223350923,439200.0,0.3333333333333333,2.1533333333333333,0.97,0.09643201542912247,0.6229508196721312,0.2806171648987464,155,erratic_or_chasing5.mp4,erratic_or_chasing
142,1.1690140845070423,0.9113666489485508,4.0,36.530381968087056,20.334414919238892,78.174484328328,2.0328947368421053,25.587483515835046,74.0,38.54807124334418,10.545211726765947,75.53754711782865,58.84231340153559,61.39686982910113,178.0054306987581,245631.0060240964,187107.45539963516,722930.0,0.09154929577464789,1.0070422535211268,0.07042253521126761,0.0783132530120482,0.8614457831325302,0.060240963855421686,90,erratic_or_chasing6.mp4,erratic_or_chasing
173,1.6416184971098267,1.1772907735297187,5.0,36.91071092138835,20.7908308027404,79.8075810935277,5.345238095238095,25.656612462259098,64.0,42.584405392254396,16.25897776693303,79.14989537020263,44.787075106759275,52.442032654642745,179.7324730126173,189753.18309859154,161643.3731812634,682023.0,0.4046242774566474,0.8901734104046243,0.3468208092485549,0.24647887323943662,0.5422535211267606,0.2112676056338028,116,erratic_or_chasing7.mp4,erratic_or_chasing
181,2.585635359116022,1.2656155053445408,6.0,12.662429725474489,15.89211362382398,76.73493337457198,-0.5955334987593052,10.989174908155261,69.0,36.941758467385725,10.400143050716807,66.10483858492964,58.26503591720169,57.24586204466565,180.0,17009.893162393164,8673.301238713817,42560.0,0.5469613259668509,1.1104972375690607,0.9281767955801105,0.21153846153846154,0.42948717948717946,0.358974358974359,65,erratic_or_chasing8.mp4,erratic_or_chasing
109,2.522935779816514,1.5301036139001385,8.0,23.258258861556456,19.75711107472127,78.0,1.5454545454545454,22.377446198940174,74.5,48.544231595904684,13.018670873045572,77.77487732426425,68.27240331535887,56.53246664680363,177.78109156152073,28710.927272727273,22519.7585521164,95381.0,0.13761467889908258,0.9908256880733946,1.3944954128440368,0.05454545454545454,0.3927272727272727,0.5527272727272727,44,feeding_response.mp4,feeding_response
300,1.18,1.1892294423981717,7.0,32.4415981961048,19.681013938745465,77.0,-13.194444444444445,26.739259245701223,77.0,44.93842927722501,11.73381286829833,74.74488129694222,26.722911880576714,40.96805493562888,173.88449643371476,31051.785310734464,29028.26174754272,225008.0,0.25666666666666665,0.45,0.47333333333333333,0.2175141242937853,0.3813559322033898,0.4011299435028249,228,feeding_response10.mp4,feeding_response
208,0.8125,0.999248515712606,5.0,42.18243766324009,17.656769749992673,79.15964881175258,-5.108695652173913,30.10162371820812,74.5,40.35557634885449,12.207598563314878,70.74492221071615,34.626294803602576,50.12297301123726,177.32588678653295,75232.26035502959,63701.05660603374,284832.0,0.25961538461538464,0.20673076923076922,0.34615384615384615,0.31952662721893493,0.25443786982248523,0.4260355029585799,100,feeding_response11.mp4,feeding_response
121,0.6611570247933884,0.8772017777081217,4.0,26.952335645515475,19.945750597253525,72.52068670386402,6.545454545454546,23.065573072374008,53.0,40.38500974238437,13.957706493876758,75.96375653207353,23.403599369712104,51.615133055039514,178.86557836902324,23616.15,15421.280540295607,66859.0,0.09917355371900827,0.2396694214876033,0.32231404958677684,0.15,0.3625,0.4875,58,feeding_response12.mp4,feeding_response
